SICRO;GO;10-2020;P9908;6970.7788;0.0000;86.7858;62.5958
SICRO;GO;10-2020;P9909;2212.7185;0.0000;110.0938;86.0438
SICRO;GO;10-2020;P9910;2431.1750;0.0000;106.9651;82.9051
SICRO;GO;10-2020;P9911;1966.2192;0.0000;114.3530;90.3630
SICRO;GO;10-2020;P9912;25.3004;30.0000;159.1723;121.4463
SICRO;GO;10-2020;P9913;3988.3178;0.0000;94.7766;70.5866
SICRO;GO;10-2020;P9915;11.9000;0.0000;147.8124;118.8124
SICRO;GO;10-2020;P9916;3698.3725;0.0000;98.2326;74.2584
SICRO;GO;10-2020;P9920;5566.0933;0.0000;89.4825;65.2925
SICRO;GO;10-2020;P9923;8.0493;30.0000;194.0809;156.9658
SICRO;GO;10-2020;P9927;6.3337;30.0000;225.0237;188.0142
SICRO;GO;10-2020;P9928;5.2712;30.0000;235.4670;198.4287
SICRO;GO;10-2020;P9929;9.4566;30.0000;201.7554;164.4155
SICRO;GO;10-2020;P9930;7.9608;30.0000;211.3658;174.1384
SICRO;GO;10-2020;P9932;11.9000;30.0000;183.8134;146.5581
SICRO;GO;10-2020;P9934;11.9000;30.0000;182.7445;145.7232
SICRO;GO;10-2020;P9938;7.1400;30.0000;210.1824;172.8768
SICRO;GO;10-2020;P9939;7.1400;26.6100;206.4195;170.0833
SICRO;GO;10-2020;P9940;13.1809;30.0000;174.0069;136.2808
SICRO;GO;10-2020;P9941;25.3004;30.0000;159.1723;121.4463
SICRO;GO;10-2020;P9942;8.0786;30.0000;193.8586;156.4575
SICRO;GO;10-2020;P9943;9.7589;30.0000;185.2353;148.1852
SICRO;GO;10-2020;P9944;14.4304;30.0000;175.8122;138.5701
SICRO;GO;10-2020;P9945;18.1287;30.0000;165.5547;127.8287
SICRO;GO;10-2020;P9946;8882.5000;0.0000;84.5324;60.3640
SICRO;GO;10-2020;P9947;3075.7799;0.0000;101.4640;77.7908
SICRO;GO;10-2020;P9948;1847.5736;0.0000;121.6481;97.7795
SICRO;GO;10-2020;P9949;2351.5751;0.0000;113.5405;89.8709
SICRO;GO;10-2020;P9950;1570.8000;0.0000;131.6981;107.9940
SICRO;GO;10-2020;P9951;8882.5000;4.7100;88.1742;63.2148
SICRO;GO;10-2020;P9952;1748.0929;0.0000;127.8504;104.0168
SICRO;GO;10-2020;P9953;1751.3786;0.0000;132.9548;109.0814
SICRO;GO;10-2020;P9954;1159.6737;0.0000;153.1363;129.3853
SICRO;GO;10-2020;P9955;15128.6976;0.0000;81.1459;56.9851
SICRO;GO;10-2020;P9956;8.6900;30.0000;196.8735;159.8243
SICRO;GO;10-2020;P9972;2146.9527;0.0000;111.5980;87.8580
