SICRO,TO,07-2019,E9053,200000.0000,6.2500,1.2500,0.0000,5.5556,11.2000,23.3074,20.8258,
SICRO,TO,07-2019,E9054,764809.5000,61.1848,13.7666,0.0000,38.2405,13.9837,18.8326,16.9190,
SICRO,TO,07-2019,E9055,336375.3633,30.2738,6.0548,0.0000,16.8188,0.0000,0.0000,0.0000,
SICRO,TO,07-2019,E9056,2000000.0000,15.6250,10.9375,0.0000,34.7222,0.0000,88.6028,78.3146,
SICRO,TO,07-2019,E9057,1283929.8891,10.0307,7.0215,0.0000,16.7178,0.0000,19.0918,16.5225,
SICRO,TO,07-2019,E9058,600000.0000,4.6875,3.2813,0.0000,7.8125,0.0000,19.0918,16.5225,
SICRO,TO,07-2019,E9059,4000000.0000,31.2500,21.8750,0.0000,69.4444,0.0000,88.6028,78.3146,
SICRO,TO,07-2019,E9060,150000.0000,4.6875,0.9375,0.0000,4.1667,0.0000,46.6148,41.6516,
SICRO,TO,07-2019,E9061,970.3166,0.0776,0.0175,0.0000,0.0485,0.0000,0.0000,0.0000,
SICRO,TO,07-2019,E9062,3157.1460,0.4210,0.0631,0.0000,0.2631,0.0000,0.0000,00000,
SICRO,TO,07-2019,E9063,15200078.5836,608.0031,250.8013,0.0000,608.0031,126.0000,33.5876,29.7843,
SICRO,TO,07-2019,E9064,419.1938,0.4192,0.0252,0.0000,0.2096,0.0000,0.0000,0.0000,
SICRO,TO,07-2019,E9065,14114551.5396,564.5821,232.8901,0.0000,494.0093,78.1200,33.5876,29.7843,
SICRO,TO,07-2019,E9066,27589.0000,1.3795,0.4730,0.0000,0.9853,7.3150,0.0000,0.0000,
SICRO,TO,07-2019,E9067,1650607.6000,66.0243,27.2350,0.0000,41.2652,48.3000,18.8326,16.9190,
SICRO,TO,07-2019,E9068,2269545.5365,151.3030,39.7170,0.0000,151.3030,64.5750,24.4479,21.8212,
SICRO,TO,07-2019,E9069,3210.4178,0.5137,0.1156,0.0000,0.3210,5.3482,0.0000,0.0000,
SICRO,TO,07-2019,E9070,174035.0731,6.9614,2.8716,0.0000,4.3509,0.0000,18.8326,16.9190,
SICRO,TO,07-2019,E9071,174.8477,0.1748,0.0105,0.0000,0.0874,0.0000,0.0000,0.0000,
SICRO,TO,07-2019,E9072,2117523.1788,141.1682,37.0567,0.0000,123.5222,255.1500,33.5876,29.7843,
SICRO,TO,07-2019,E9073,264305.0731,21.1444,4.7575,0.0000,21.1444,49.2100,18.8326,16.9190,
SICRO,TO,07-2019,E9074,225000.0000,9.3750,3.1641,0.0000,5.8594,0.0000,0.0000,0.0000,
SICRO,TO,07-2019,E9075,87.2990,0.0436,0.0039,0.0000,0.0218,0.0000,0.0000,0.0000,
SICRO,TO,07-2019,E9076,125555.3340,8.0714,2.1524,0.0000,4.4841,0.0000,18.8326,16.9190,
SICRO,TO,07-2019,E9077,4643105.3301,309.5404,81.2543,0.0000,309.5404,95.5500,24.4479,21.8212,
SICRO,TO,07-2019,E9078,2227463.8696,59.3990,35.6394,0.0000,37.1244,0.0000,33.5876,29.7843,
SICRO,TO,07-2019,E9079,50251.5298,4.0201,0.9045,0.0000,3.5176,0.0000,0.0000,0.0000,
SICRO,TO,07-2019,E9080,1883410.1200,84.7535,31.0763,0.0000,47.0853,0.0000,18.8326,16.9190,
SICRO,TO,07-2019,E9081,133363.7056,6.0014,2.2005,0.0000,3.3341,0.0000,18.8326,16.9190,
SICRO,TO,07-2019,E9083,278855.9600,6.9714,4.3920,0.0000,3.4857,0.0000,0.0000,00000,
SICRO,TO,07-2019,E9084,282222.7300,7.0556,4.4450,0.0000,3.5278,0.0000,0.0000,00000,
SICRO,TO,07-2019,E9085,262965.7800,6.5741,4.1417,0.0000,3.2871,0.0000,0.0000,00000,
SICRO,TO,07-2019,E9086,304425.0731,24.3540,5.4797,0.0000,24.3540,49.2100,18.8326,16.9190,
SICRO,TO,07-2019,E9087,250000.0000,6.2500,3.9375,0.0000,3.1250,0.0000,0.0000,0.0000,
SICRO,TO,07-2019,E9088,330000.0000,8.2500,5.1975,0.0000,4.1250,0.0000,0.0000,0.0000,
SICRO,TO,07-2019,E9089,1842.7907,0.2764,0.0369,0.0000,0.2150,5.7396,0.0000,0.0000,
SICRO,TO,07-2019,E9090,1732664.8528,27.7226,27.0296,0.0000,34.6533,58.8000,33.5876,29.7843,
SICRO,TO,07-2019,E9091,676755.5000,8.8119,3.8185,0.0000,19.5820,247.3800,112.7498,96.3836,
SICRO,TO,07-2019,E9093,45493.2663,2.7296,0.8189,0.3412,2.7296,17.7778,0.0000,00000,
SICRO,TO,07-2019,E9094,10377736.1004,518.8868,177.9040,74.1267,667.1402,78.7500,26.3703,23.5105,
SICRO,TO,07-2019,E9095,15445556.1004,772.2778,264.7810,110.3254,992.9286,87.5000,26.3703,23.5105,
SICRO,TO,07-2019,E9096,170463.3083,11.9324,3.0683,0.0000,11.9324,36.7500,24.4479,21.8212,
SICRO,TO,07-2019,E9101,34280.2954,2.7424,0.6170,0.0000,2.3996,12.6401,0.0000,0.0000,
SICRO,TO,07-2019,E9102,40298.9334,3.2239,0.7254,0.0000,2.8209,5.4810,18.8326,16.9190,
SICRO,TO,07-2019,E9103,35885.7334,2.8709,0.6459,0.0000,2.5120,5.4810,18.8326,16.9190,
SICRO,TO,07-2019,E9104,2464107.8679,32.0847,13.9034,0.0000,71.2994,148.9600,112.7498,96.3836,
SICRO,TO,07-2019,E9105,3890696.6335,50.6601,21.9527,0.0000,112.5780,247.3800,112.7498,96.3836,
SICRO,TO,07-2019,E9106,681720.7823,5.3259,3.7282,0.0000,8.8766,0.0000,19.0918,16.5225,
SICRO,TO,07-2019,E9107,7080.6849,0.4720,0.1239,0.0000,0.4720,2.9220,0.0000,0.0000,
SICRO,TO,07-2019,E9108,7281796.3200,116.5087,113.5960,0.0000,145.6359,168.0000,67.1752,59.5686,
SICRO,TO,07-2019,E9110,778749.5877,54.5125,14.0175,0.0000,54.5125,73.1500,24.4479,21.8212,
