SICRO,TO,07-2019,P9903,1847.1966,0.0000,115.3183,91.4778,
SICRO,TO,07-2019,P9907,10769.0000,0.0000,85.3100,55.3100,
SICRO,TO,07-2019,P9908,7211.3333,0.0000,95.1800,65.2700,
SICRO,TO,07-2019,P9909,2769.7281,0.0000,106.0100,76.1700,
SICRO,TO,07-2019,P9910,3029.1334,0.0000,101.9300,72.0100,
SICRO,TO,07-2019,P9911,2170.7040,0.0000,116.1900,86.5500,
SICRO,TO,07-2019,P9912,26.7652,30.0000,166.6800,128.0200,
SICRO,TO,07-2019,P9913,5351.1667,0.0000,96.6400,66.8000,
SICRO,TO,07-2019,P9916,4361.3608,0.0000,95.5438,72.2889,
SICRO,TO,07-2019,P9920,5888.3333,0.0000,91.0800,61.3400,
SICRO,TO,07-2019,P9923,8.1455,30.0000,211.4500,172.7800,
SICRO,TO,07-2019,P9927,5.7871,30.0000,221.0772,185.9387,
SICRO,TO,07-2019,P9928,5.2020,30.0000,224.3961,189.2181,
SICRO,TO,07-2019,P9929,12.6943,30.0000,180.9880,145.0262,
SICRO,TO,07-2019,P9930,8.2686,30.0000,199.2672,163.2717,
SICRO,TO,07-2019,P9932,9.6749,30.0000,186.3675,151.1357,
SICRO,TO,07-2019,P9934,10.6030,30.0000,182.6633,147.6580,
SICRO,TO,07-2019,P9938,7.0279,30.0000,201.6421,166.3313,
SICRO,TO,07-2019,P9939,7.0279,25.8200,196.9483,162.7641,
SICRO,TO,07-2019,P9940,14.2985,30.0000,180.4200,141.7500,
SICRO,TO,07-2019,P9941,26.7652,30.0000,166.6800,128.0200,
SICRO,TO,07-2019,P9942,8.6046,30.0000,205.3000,166.4900,
SICRO,TO,07-2019,P9943,10.4145,30.0000,192.2600,153.2600,
SICRO,TO,07-2019,P9944,14.0424,30.0000,172.8592,137.6927,
SICRO,TO,07-2019,P9945,24.3235,30.0000,174.2300,135.4500,
SICRO,TO,07-2019,P9946,9465.0945,0.0000,84.5279,60.4688,
SICRO,TO,07-2019,P9947,3155.1554,0.0000,99.1448,75.7574,
SICRO,TO,07-2019,P9948,1914.8661,0.0000,114.0058,90.5325,
SICRO,TO,07-2019,P9949,2446.6449,0.0000,108.0947,85.0834,
SICRO,TO,07-2019,P9950,1790.8000,0.0000,118.7391,95.6723,
SICRO,TO,07-2019,P9951,10239.8264,3.9000,86.8970,61.8524,
SICRO,TO,07-2019,P9952,1668.2235,0.0000,123.8787,100.9368,
SICRO,TO,07-2019,P9953,1819.0757,0.0000,123.8221,100.7186,
SICRO,TO,07-2019,P9954,1144.4342,0.0000,146.0999,123.4164,
SICRO,TO,07-2019,P9955,16513.1232,0.0000,81.5454,57.5029,
SICRO,TO,07-2019,P9956,8.2864,30.0000,192.5922,157.5334,
SICRO,TO,07-2019,P9972,2291.1906,0.0000,111.3800,81.3800,
